Representative_Sequence	total	CL3	CC1	SV1	M31Fcsw	M11Fcsw	M31Plmr	M11Plmr	F21Plmr	M31Tong	M11Tong	LMEpi24M	SLEpi20M	AQC1cm	AQC4cm	AQC7cm	NP2	NP3	NP5	TRRsed1	TRRsed2	TRRsed3	TS28	TS29	Even1	Even2	Even3
Acidiphilium	0.000272213776397709	0.000102005785995409	2.80744009678692e-05	3.03167599139841e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	7.96583190697672e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.769270603302e-05	4.50045338184894e-05	3.52984234852191e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.20509912985124e-06	2.58346397049477e-07	2.58346397049477e-07
Acidisoma	0.000185560008291535	0.000165961319457235	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.33983753051131e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Acidobacterium	0.000531883058294738	0.000523530892902897	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.151851862653e-06	2.58346397049477e-07	2.58346397049477e-07
Acidocella	0.000285033089279858	0.000154333040645993	2.16553114515262e-05	2.58346397049477e-07	1.03813490281094e-06	2.58346397049477e-07	2.58346397049477e-07	6.19182304764674e-05	6.5595436245227e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.24618520574422e-05	2.21583945771555e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Acidomonas	4.37527730501787e-05	3.16541609985974e-06	8.81713241884015e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.95270601718676e-05	6.5595436245227e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Acidovorax	0.17408186741363	0.00163984565878204	0.00341521396909153	0.000638164677700883	2.36520015698935e-05	1.15581945137968e-05	0.000951733132315223	0.014833314210252	0.00105255828338508	2.66096788960962e-05	0.00364145305190313	0.0226945527138636	0.0106677287010988	0.0333405654235848	0.0350080482508436	0.0431170732033897	0.000345643093095052	0.00077702073259162	9.90943797162853e-05	0.00139422942149724	0.00020191503364304	8.17978114981584e-05	3.30818223963525e-06	4.72604908698911e-05	3.812845570912e-05	1.43291954672595e-05	1.70694661121851e-05
Acinetobacter	0.166231229914682	0.0101633740274217	0.00222340301555718	0.00394125034083958	2.59771191433388e-06	4.24652808531326e-06	0.00407978422588935	0.109523627442463	0.0279145620641034	5.45110897774397e-05	0.000369298350333476	7.52317542664458e-05	0.000714647710925385	0.000226905021664667	0.000150768249541893	7.03385005733887e-05	3.20178633347968e-05	0.00319253260439417	0.00109894727492251	0.00121998303710972	0.000791373042515934	0.000176927187449452	1.24576897673926e-05	4.17519176978627e-06	7.50518122883888e-05	6.35771672129946e-05	4.96410105602602e-05
Acrocarpospora	8.43557741629419e-05	5.54926707504445e-05	1.09568289242878e-05	6.93799384525716e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	4.1120891520131e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.43091715290031e-06	2.58346397049477e-07
Actinoallomurus	0.000434302893184581	0.000133983552726322	7.72874205931655e-05	3.59817012115332e-06	2.58346397049477e-07	2.58346397049477e-07	1.81304375966087e-06	2.58346397049477e-07	6.5595436245227e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	0.000124354769317659	8.17978114981584e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Actinoalloteichus	0.00355065374657146	0.00105843171821999	9.65446891421945e-05	0.00227133847878766	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.5673317416904e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.03931939568902e-06	2.58346397049477e-07	6.06979960903967e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	8.73815385908115e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	3.09860459545477e-06	1.43091715290031e-06	5.51182130802934e-06
Actinobacillus	0.162022693071906	4.09573222363932e-05	6.44492415604795e-05	3.03167599139841e-05	4.86052337542605e-05	1.02288006177089e-05	0.0314206920447733	0.00222772165876602	0.0188849464371343	0.0731024715483113	0.0327218053620936	0.000379811223735868	0.000134206352246112	0.000482608962992235	0.00018331093130294	0.000201738789654025	3.59878029520153e-05	7.33081005846266e-05	0.000524319174229276	0.000871490268334669	0.000294987350833497	0.000136157454898898	3.53314585867859e-05	1.59257278879967e-05	2.96076811139041e-05	4.83337473869337e-05	2.33736360053609e-05
Actinobaculum	7.10586987614802e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	5.77821488136711e-05	2.58346397049477e-07	6.5595436245227e-06	7.75039191148432e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Actinocatenispora	3.38573379996036e-05	1.18866252082905e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.57703992621256e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Actinocorallia	0.000187873696744847	1.18866252082905e-05	1.73759184406308e-05	5.36955259827109e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	3.12824521272018e-05	6.82079006479736e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Actinokineospora	0.000711769191214864	1.47936949111008e-05	0.000426057950981135	0.000190628298670968	2.58346397049477e-07	2.58346397049477e-07	6.47713584749505e-06	2.72345456817948e-05	6.5595436245227e-06	2.58346397049477e-07	2.58346397049477e-07	4.1632113902472e-06	2.58346397049477e-07	6.06979960903967e-06	2.58346397049477e-07	4.63835603307068e-06	2.58346397049477e-07	2.58346397049477e-07	2.5568587998224e-06	2.58346397049477e-07	1.57703992621256e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.151851862653e-06	2.58346397049477e-07	1.30904137924545e-06
Actinomadura	0.00169025448383588	0.000145611831537563	6.01698485495842e-05	0.000781777097837348	2.58346397049477e-07	2.58346397049477e-07	4.92243848488366e-06	5.03570022115765e-05	4.4366726989362e-05	4.90858154394007e-06	1.2559679861597e-05	1.03931939568902e-06	2.58346397049477e-07	2.93156124570004e-05	1.65296872775731e-05	3.09184138491979e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	8.73815385908115e-05	0.000294987350833497	0.000122567544048713	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Actinomyces	0.0709571107585952	9.32845768869779e-05	1.52362219351831e-05	1.36176412934648e-05	1.74136935238018e-05	8.899406721621e-06	0.0181233655023581	0.00199264335071324	0.0408194139859686	0.00419942068403926	0.00465016239599603	3.22782393412708e-05	1.88622360983082e-05	6.99957849409318e-05	5.72080394788821e-05	3.09184138491979e-05	3.59878029520153e-05	1.73032890408175e-05	2.78404952303246e-05	0.000610120691753383	1.57703992621256e-05	1.38482572472343e-05	2.61819510590285e-05	5.7052604301733e-05	3.09860459545477e-06	3.77605866460198e-06	3.4104313436374e-06
Actinomycetospora	0.00180628768140412	6.42138798588753e-05	0.0003212128222142	0.000755058508044518	2.58346397049477e-07	2.58346397049477e-07	1.89147147483862e-05	0.000135139342820776	0.000208197854903666	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	4.32618161718038e-06	9.01836566909187e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	8.73815385908115e-05	0.000139866822182735	5.46179897977888e-05	2.58346397049477e-07	2.58346397049477e-07	1.20509912985124e-06	3.77605866460198e-06	2.58346397049477e-07
Actinoplanes	0.0117126191384006	0.000497367265577605	0.00350508122232033	0.00690033416039559	1.03813490281094e-06	1.5877402931374e-06	5.00086620006141e-05	0.000146700571085667	0.000258607432723452	7.75039191148432e-07	2.58346397049477e-07	2.60126539296811e-06	3.97912433730123e-06	6.06979960903967e-06	8.39401683731128e-06	4.63835603307068e-06	2.58346397049477e-07	2.69333820330205e-06	2.58346397049477e-07	0.000174504730784573	9.33306635875065e-05	2.74381680974191e-05	2.58346397049477e-07	2.58346397049477e-07	1.20509912985124e-06	1.31566247114087e-05	1.18159912012052e-05
Actinopolymorpha	0.000131610013566147	3.22361131279624e-05	2.58346397049477e-07	4.03362310862956e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	6.5595436245227e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	4.6794504992278e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Actinotalea	0.00133396386943615	6.07248580267001e-06	0.000135059226240253	0.000314201776462811	2.58346397049477e-07	2.58346397049477e-07	6.08915435388938e-05	0.000165969284860485	0.000195595460448719	2.58346397049477e-07	2.58346397049477e-07	1.82029239432857e-06	3.97912433730123e-06	2.35041592450102e-05	0.000134496908661369	0.000223638837834131	2.58346397049477e-07	2.69333820330205e-06	2.5568587998224e-06	2.58346397049477e-07	4.6794504992278e-05	1.38482572472343e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Adhaeribacter	0.00159691442088864	2.35149040195316e-05	6.01698485495842e-05	0.00129610995134934	2.58346397049477e-07	2.58346397049477e-07	6.24462409015053e-05	7.34794587413583e-05	3.80655297618888e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	6.06979960903967e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.57703992621256e-05	1.38482572472343e-05	2.58346397049477e-07	2.58346397049477e-07	1.20509912985124e-06	2.58346397049477e-07	2.35973636144142e-06
Adlercreutzia	0.000516758445485478	3.16541609985974e-06	2.58346397049477e-07	3.59817012115332e-06	5.48435418003522e-05	2.08639517864123e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.18812528210299e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	4.90557198784218e-05	0.000368441811434308	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Aequorivita	0.000112353225740039	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.82029239432857e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	4.2282860142679e-06	2.69333820330205e-06	4.85537120259533e-06	2.58346397049477e-07	9.33306635875065e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Aerococcus	5.55615949566197e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	3.29069910118887e-05	1.5673317416904e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.03931939568902e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Aeromicrobium	0.00176452838908899	4.67714616420137e-05	0.000661424566580379	0.000624805382804468	2.58346397049477e-07	2.58346397049477e-07	4.37898725501685e-05	0.000162115542105522	0.00015778827708388	7.75039191148432e-07	2.58346397049477e-07	2.58346397049477e-07	7.69990227755297e-06	2.58346397049477e-07	8.39401683731128e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	3.12824521272018e-05	1.38482572472343e-05	2.58346397049477e-07	2.21676908341788e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Aeromonas	0.00190953672909845	3.16541609985974e-06	6.67743591339248e-06	2.58346397049477e-07	1.03813490281094e-06	9.23043345093441e-07	1.81304375966087e-06	0.000632272158211083	6.95715158992549e-05	7.75039191148432e-07	1.2559679861597e-05	0.000173634352095028	0.000123044018425357	0.000128110317060834	2.46653577178349e-05	4.63835603307068e-06	2.58346397049477e-07	0.000156097821997214	4.85537120259533e-06	0.000174504730784573	1.57703992621256e-05	4.10280789476039e-05	3.30818223963525e-06	2.21676908341788e-06	0.000129963470790891	0.000104617143667774	9.37701998124911e-05
Aestuariimicrobium	8.85670282873408e-06	2.58346397049477e-07	2.39804290249714e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Afifella	0.00126458581356745	2.64219737223419e-05	5.58904555386888e-05	0.000150550413981722	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	6.5595436245227e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	6.99957849409318e-05	5.72080394788821e-05	4.40584427572615e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	0.000348751115172097	0.000310499403698573	0.000190517098299637	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Afipia	0.000467443864694814	0.000128169413320701	7.30080275822702e-05	3.59817012115332e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	5.80644877215038e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	9.90530510008827e-05	6.53437099191439e-05	3.52984234852191e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07
Aggregatibacter	0.00989561874489148	2.58346397049477e-07	4.53773940794481e-06	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	0.00528311998455057	0.000208360455165085	0.0041527473193019	0.000144415635950658	4.94636802552397e-05	1.03931939568902e-06	2.63037919788117e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	2.5568587998224e-06	2.58346397049477e-07	1.57703992621256e-05	2.58346397049477e-07	2.58346397049477e-07	2.58346397049477e-07	1.20509912985124e-06	1.43091715290031e-06	1.30904137924545e-06
Agrobacterium	0.0152377601249316	0.000131076483023511	0.000271999802588903	0.000698281504734752	2.58346397049477e-07	2.58346397049477e-07	9.82042802415673e-05	0.00209669440509726	0.000416137363410282	1.80842477934634e-06	2.58346397049477e-07	1.8220725365759e-05	7.69990227755297e-06	0.000168790489544765	0.000154836084762024	8.78585391174735e-05	7.17172595069811e-05	0.000555436478222636	9.45239600814118e-06	0.00139422942149724	0.00798896557191127	0.00106027139271147	2.58346397049477e-07	2.58346397049477e-07	3.09860459545477e-06	1.43091715290031e-06	2.58346397049477e-07
Agrococcus	0.000327887794677593	3.16541609985974e-06	1.30965254297355e-05	0.000133851295361203	2.58346397049477e-07	2.58346397049477e-07	1.81304375966087e-06	1.18195746619403e-05	1.28607408519959e-05	2.58346397049477e-07	2.58346397049477e-07	6.50613038616584e-06	2.58346397049477e-07	1.769270603302e-05	4.32618161718038e-06	9.01836566909187e-06	2.58346397049477e-07	2.69333820330205e-06	2.58346397049477e-07	8.73815385908115e-05	1.57703992621256e-05	2.58346397049477e-07	1.78326431834236e-06	2.21676908341788e-06	2.58346397049477e-07	2.58346397049477e-07	1.30904137924545e-06
Agromyces	0.00931890612130264	5.25856010476342e-05	0.000419638861464792	0.000624805382804468	1.03813490281094e-06	2.91713418922533e-06	7.48838198023964e-05	0.000940571578608173	0.000409836166182809	3.87519595574216e-06	0.00111967969167088	0.00442993719468055	0.000260712802214672	0.000162979036332775	0.000309413823126998	0.000201738789654025	3.59878029520153e-05	0.000112267969484668	3.24375200358704e-05	8.73815385908115e-05	2.58346397049477e-07	2.74381680974191e-05	2.58346397049477e-07	2.21676908341788e-06	1.20509912985124e-06	1.43091715290031e-06	3.4104313436374e-06
