OTU	Size	Taxonomy
Actinocatenispora	5	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Actinocatenispora;
Actinocorallia	35	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Thermomonosporaceae;Actinocorallia;
Actinokineospora	285	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinosynnemataceae;Actinokineospora;
Actinomadura	391	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Thermomonosporaceae;Actinomadura;
Actinomyces	27406	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;
Actinomycetospora	499	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Pseudonocardiaceae;Actinomycetospora;
Actinoplanes	4032	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Actinoplanes;
Actinopolymorpha	27	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardioidaceae;Actinopolymorpha;
Actinotalea	369	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Cellulomonadaceae;Actinotalea;
Adhaeribacter	495	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Flexibacteraceae;Adhaeribacter;
Adlercreutzia	325	Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Adlercreutzia;
Aequorivita	12	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Aequorivita;
Aerococcus	26	Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus;
Aeromicrobium	616	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardioidaceae;Aeromicrobium;
Aeromonas	858	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas;
Aestuariimicrobium	1	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;Aestuariimicrobium;
Afifella	155	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhodobiaceae;Afifella;
Afipia	135	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Afipia;
Aggregatibacter	4409	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;
Agrobacterium	2032	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Agrobacterium;
Agrococcus	73	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Agrococcus;
Agromyces	6831	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Agromyces;
Akkermansia	19716	Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Akkermansia;
Alcaligenes	3	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Alcaligenes;
Alcanivorax	275	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Alcanivoracaceae;Alcanivorax;
Algibacter	54	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Algibacter;
Algoriphagus	3589	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Cyclobacteriaceae;Algoriphagus;
Alicycliphilus	21	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Alicycliphilus;
Alicyclobacillus	218	Bacteria;Firmicutes;Bacilli;Bacillales;Alicyclobacillaceae;Alicyclobacillus;
Aliivibrio	232	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Aliivibrio;
Alishewanella	157	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alishewanella;
Alistipes	210468	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;
Alkalibacterium	78	Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Alkalibacterium;
Alkalimonas	23	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;NA;Alkalimonas;
Alkaliphilus	20	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Alkaliphilus;
Alkanindiges	934	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Alkanindiges;
Allobaculum	6	Bacteria;Tenericutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Allobaculum;
Allochromatium	4	Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Allochromatium;
Alloiococcus	53	Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Alloiococcus;
Alloscardovia	110	Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Alloscardovia;
Alteromonas	4096	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;
Alysiella	2	Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Alysiella;
Amaricoccus	4587	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Amaricoccus;
Ammoniphilus	19	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Ammoniphilus;
Amphritea	552	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Amphritea;
Amycolatopsis	1023	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Pseudonocardiaceae;Amycolatopsis;
Anabaena	1691	Bacteria;Cyanobacteria;Nostocophycideae;Nostocales;Nostocaceae;Anabaena;
Anabaenopsis	8	Bacteria;Cyanobacteria;Nostocophycideae;Nostocales;Nostocaceae;Anabaenopsis;
Anaerobacillus	3	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anaerobacillus;
Anaerobiospirillum	57	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum;
Anaerococcus	131499	Bacteria;Firmicutes;Clostridia;Clostridiales;ClostridialesFamilyXI.IncertaeSedis;Anaerococcus;
Anaerofustis	27231	Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Anaerofustis;
Anaeroglobus	49	Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Anaeroglobus;
Anaerolinea	3448	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolinaceae;Anaerolinea;
Anaeromyxobacter	9001	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Myxococcaceae;Anaeromyxobacter;
Anaeroplasma	1	Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae;Anaeroplasma;
Anaerostipes	156	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerostipes;
Anaerotruncus	13504	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus;
Anaerovorax	3742	Bacteria;Firmicutes;Clostridia;Clostridiales;ClostridialesFamilyXIII.IncertaeSedis;Anaerovorax;
Ancylobacter	2	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Ancylobacter;
Aneurinibacillus	6	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Aneurinibacillus;
Anoxybacillus	4	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus;
Antarctobacter	14	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Antarctobacter;
Aphanizomenon	121	Bacteria;Cyanobacteria;Nostocophycideae;Nostocales;Nostocaceae;Aphanizomenon;
Aphanothece	19	Bacteria;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Cyanobacteriaceae;Aphanothece;
Aquabacterium	6256	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;NA;Aquabacterium;
Aquamonas	4376	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Aquamonas;
Aquicella	2834	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae;Aquicella;
Aquiflexum	81	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Cyclobacteriaceae;Aquiflexum;
Aquimarina	226	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Aquimarina;
Aquimonas	454	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Aquimonas;
Aquitalea	10	Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Aquitalea;
Arcanobacterium	238	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Arcanobacterium;
Arcobacter	395	Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Arcobacter;
Arctic95A_2	10	Bacteria;SAR406;AB16;Arctic96B_7;A714017;Arctic95A_2;
Arhodomonas	30	Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Arhodomonas;
Armatimonas	165	Bacteria;Armatimonadetes;Armatimonadia;Armatimonadales;Armatimonadaceae;Armatimonas;
Arsenicicoccus	92	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Arsenicicoccus;
Arsenophonus	37	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Arsenophonus;
Arthrobacter	4588	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Arthrobacter;
Asaia	2	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Asaia;
Asticcacaulis	230	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Asticcacaulis;
Atopobium	2477	Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Atopobium;
Aurantimonas	1227	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Aurantimonadaceae;Aurantimonas;
Aureispira	868	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Saprospiraceae;Aureispira;
Averyella	4	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Averyella;
Avibacterium	4	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Avibacterium;
Azoarcus	3	Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azoarcus;
Azohydromonas	8536	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Azohydromonas;
Azomonas	7	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Azomonas;
Azonexus	8	Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azonexus;
Azorhizobium	44	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Azorhizobium;
Azorhizophilus	12	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Azorhizophilus;
Azospira	209	Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azospira;
Azospirillum	216	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Azospirillum;
Azotobacter	503	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Azotobacter;
Azovibrio	99	Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azovibrio;
Bacillus	5226	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;
Bacillus_1	12	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Bacillus;
Bacteriovorax	647	Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae;Bacteriovorax;
Bacteroides	2601720	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
Bacteroides_1	593	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Bacteroides;
Bacteroides_2	9516	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Bacteroides;
Balneimonas	3551	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Balneimonas;
Balneola	4164	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Balneolaceae;Balneola;
Bartonella	394	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bartonellaceae;Bartonella;
BD2_13	191	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Alteromonadaceae;BD2_13;
BD2_6	289	Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Thermodesulfovibrionaceae;BD2_6;
Bdellovibrio	3302	Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio;
Beggiatoa	2	Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Beggiatoa;
Beijerinckia	830	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Beijerinckia;
Bellilinea	1	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolinaceae;Bellilinea;
Bergeriella	113	Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Bergeriella;
Bergeyella	85	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Bergeyella;
BHB21	1	Bacteria;Spirochaetes;WWE1;PBS_18;SHA_4;BHB21;
Bibersteinia	15	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Bibersteinia;
Bifidobacterium	430423	Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;
Bilophila	1756	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Bilophila;
Bizionia	43	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Bizionia;
Blastochloris	17	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Blastochloris;
Blastomonas	139	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Blastomonas;
Blastopirellula	6	Bacteria;Planctomycetes;Planctomycea;Pirellulales;NA;Blastopirellula;
Blattabacterium	1	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Blattabacteriaceae;Blattabacterium;
Blautia	171086	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;
Bordetella	401	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;
Bosea	2246	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bosea;
Brachybacterium	779	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Dermabacteraceae;Brachybacterium;
Brachymonas	6150	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Brachymonas;
Bradyrhizobium	12028	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium;
Brenneria	25	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Brenneria;
Brevibacillus	19	Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Brevibacillus;
Brevibacterium	1485	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Brevibacteriaceae;Brevibacterium;
Brevundimonas	9676	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;
Buchnera	819	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Buchnera;
Bulleidia	1391	Bacteria;Tenericutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Bulleidia;
Burkholderia	37100	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;
Buttiauxella	71	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Buttiauxella;
Butyrivibrio	711	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Butyrivibrio;
C1_B004	1481	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolinaceae;C1_B004;
Caedibacter	75	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;NA;Caedibacter;
Caldilinea	2735	Bacteria;Chloroflexi;Anaerolineae;Caldilineales;Caldilineaceae;Caldilinea;
Caldimonas	1	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Caldimonas;
Caloramator	234	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Caloramator;
Calothrix	23	Bacteria;Cyanobacteria;Nostocophycideae;Nostocales;Rivulariaceae;Calothrix;
Campylobacter	42053	Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;
CandidatusAmoebophilus	218	Bacteria;Bacteroidetes;NA;NA;NA;CandidatusAmoebophilus;
CandidatusAnammoxoglobus	1	Bacteria;Planctomycetes;Kueneniae;Kueneniales;Kueneniaceae;CandidatusAnammoxoglobus;
CandidatusAquiluna	14632	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;CandidatusAquiluna;
CandidatusAquirestis	31395	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Saprospiraceae;CandidatusAquirestis;
CandidatusAzobacteroides	78	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;CandidatusAzobacteroides;
CandidatusBlochmannia	65	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;CandidatusBlochmannia;
CandidatusBrocadia	1	Bacteria;Planctomycetes;Kueneniae;Kueneniales;Kueneniaceae;CandidatusBrocadia;
CandidatusCloacamonas	1	Bacteria;Spirochaetes;WWE1;PBS_18;SHA_4;CandidatusCloacamonas;
CandidatusEndobugula	213	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Alteromonadaceae;CandidatusEndobugula;
CandidatusEntotheonella	1282	Bacteria;Proteobacteria;Deltaproteobacteria;Entotheonellales;Entotheonellaceae;CandidatusEntotheonella;
CandidatusHamiltonella	3	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;CandidatusHamiltonella;
CandidatusKoribacter	13286	Bacteria;Acidobacteria;NA;NA;Koribacteraceae;CandidatusKoribacter;
CandidatusMethanoregula	282	Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;NA;CandidatusMethanoregula;
CandidatusMethylacidiphilum	2	Bacteria;Verrucomicrobia;Methylacidiphilae;Methylacidiphilales;Methylacidiphilaceae;CandidatusMethylacidiphilum;
CandidatusMethylomirabilis	3	Bacteria;NC10;12_24;Methylomirabiliales;Methylomirabiliaceae;CandidatusMethylomirabilis;
CandidatusNitrososphaera	30796	Archaea;Crenarchaeota;Thaumarchaeota;Nitrososphaerales;Nitrososphaeraceae;CandidatusNitrososphaera;
CandidatusOdyssella	1496	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;NA;CandidatusOdyssella;
CandidatusPelagibacter	177698	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;NA;CandidatusPelagibacter;
CandidatusPhlomobacter	1	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;CandidatusPhlomobacter;
CandidatusPortiera	271707	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;CandidatusPortiera;
CandidatusProtochlamydia	133	Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Parachlamydiaceae;CandidatusProtochlamydia;
CandidatusRegiella	5	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;CandidatusRegiella;
CandidatusRhabdochlamydia	292	Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Rhabdochlamydiaceae;CandidatusRhabdochlamydia;
CandidatusRhodoluna	6680	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;CandidatusRhodoluna;
CandidatusSolibacter	169866	Bacteria;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae;CandidatusSolibacter;
CandidatusSulcia	84	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;NA;CandidatusSulcia;
CandidatusTremblaya	10	Bacteria;Proteobacteria;Betaproteobacteria;NA;NA;CandidatusTremblaya;
CandidatusXiphinematobacter	25607	Bacteria;Verrucomicrobia;Spartobacteria;Spartobacteriales;Spartobacteriaceae;CandidatusXiphinematobacter;
Capnocytophaga	20698	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;
Cardiobacterium	1754	Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Cardiobacterium;
Carnobacterium	362	Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Carnobacterium;
Catellatospora	528	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Catellatospora;
Catellibacterium	4	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Catellibacterium;
Catenibacterium	37417	Bacteria;Tenericutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Catenibacterium;
Catenulispora	530	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Catenulisporaceae;Catenulispora;
Catonella	240	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Catonella;
Caulobacter	2948	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;
Cedecea	2	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Cedecea;
Celerinatantimonas	1	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Celerinatantimonadaceae;Celerinatantimonas;
Cellulomonas	612	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Cellulomonadaceae;Cellulomonas;
Cellulophaga	5	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Cellulophaga;
Cellulosimicrobium	72	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Promicromonosporaceae;Cellulosimicrobium;
Cellvibrio	495	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Alteromonadaceae;Cellvibrio;
Cenarchaeum	8	Archaea;Crenarchaeota;Thaumarchaeota;Cenarchaeales;Cenarchaeaceae;Cenarchaeum;
Cetobacterium	35	Bacteria;Fusobacteria;Fusobacteria;Fusobacteriales;Fusobacteriaceae;Cetobacterium;
Chelativorans	610	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Chelativorans;
Chelatococcus	30	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Chelatococcus;
Chelonobacter	5	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Chelonobacter;
Chitinimonas	27	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Chitinimonas;
Chitinophaga	1378	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;NA;Chitinophaga;
Chondromyces	816	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;Chondromyces;
Chromobacterium	1	Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Chromobacterium;
Chromohalobacter	4	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Chromohalobacter;
Chroococcidiopsis	119	Bacteria;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Xenococcaceae;Chroococcidiopsis;
Chryseobacterium	2498	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Chryseobacterium;
Chthoniobacter	35834	Bacteria;Verrucomicrobia;Spartobacteria;Spartobacteriales;Spartobacteriaceae;Chthoniobacter;
Citricoccus	39	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Citricoccus;
Citrobacter	284	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Citrobacter;
Clavibacter	248	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Clavibacter;
Cloacibacillus	71	Bacteria;Synergistetes;Synergistia;Synergistales;Synergistaceae;Cloacibacillus;
